,model_kernel_size,model_layer_name
0,"(3, 3, 3, 32)",model/MobilenetV2/Conv/weights:0
1,"(3, 3, 32, 1)",model/MobilenetV2/expanded_conv/depthwise/depthwise_weights:0
2,"(1, 1, 32, 16)",model/MobilenetV2/expanded_conv/project/weights:0
3,"(1, 1, 16, 96)",model/MobilenetV2/expanded_conv_1/expand/weights:0
4,"(3, 3, 96, 1)",model/MobilenetV2/expanded_conv_1/depthwise/depthwise_weights:0
5,"(1, 1, 96, 24)",model/MobilenetV2/expanded_conv_1/project/weights:0
6,"(1, 1, 24, 144)",model/MobilenetV2/expanded_conv_2/expand/weights:0
7,"(3, 3, 144, 1)",model/MobilenetV2/expanded_conv_2/depthwise/depthwise_weights:0
8,"(1, 1, 144, 24)",model/MobilenetV2/expanded_conv_2/project/weights:0
9,"(1, 1, 24, 144)",model/MobilenetV2/expanded_conv_3/expand/weights:0
10,"(3, 3, 144, 1)",model/MobilenetV2/expanded_conv_3/depthwise/depthwise_weights:0
11,"(1, 1, 144, 32)",model/MobilenetV2/expanded_conv_3/project/weights:0
12,"(1, 1, 32, 192)",model/MobilenetV2/expanded_conv_4/expand/weights:0
13,"(3, 3, 192, 1)",model/MobilenetV2/expanded_conv_4/depthwise/depthwise_weights:0
14,"(1, 1, 192, 32)",model/MobilenetV2/expanded_conv_4/project/weights:0
15,"(1, 1, 32, 192)",model/MobilenetV2/expanded_conv_5/expand/weights:0
16,"(3, 3, 192, 1)",model/MobilenetV2/expanded_conv_5/depthwise/depthwise_weights:0
17,"(1, 1, 192, 32)",model/MobilenetV2/expanded_conv_5/project/weights:0
18,"(1, 1, 32, 192)",model/MobilenetV2/expanded_conv_6/expand/weights:0
19,"(3, 3, 192, 1)",model/MobilenetV2/expanded_conv_6/depthwise/depthwise_weights:0
20,"(1, 1, 192, 64)",model/MobilenetV2/expanded_conv_6/project/weights:0
21,"(1, 1, 64, 384)",model/MobilenetV2/expanded_conv_7/expand/weights:0
22,"(3, 3, 384, 1)",model/MobilenetV2/expanded_conv_7/depthwise/depthwise_weights:0
23,"(1, 1, 384, 64)",model/MobilenetV2/expanded_conv_7/project/weights:0
24,"(1, 1, 64, 384)",model/MobilenetV2/expanded_conv_8/expand/weights:0
25,"(3, 3, 384, 1)",model/MobilenetV2/expanded_conv_8/depthwise/depthwise_weights:0
26,"(1, 1, 384, 64)",model/MobilenetV2/expanded_conv_8/project/weights:0
27,"(1, 1, 64, 384)",model/MobilenetV2/expanded_conv_9/expand/weights:0
28,"(3, 3, 384, 1)",model/MobilenetV2/expanded_conv_9/depthwise/depthwise_weights:0
29,"(1, 1, 384, 64)",model/MobilenetV2/expanded_conv_9/project/weights:0
30,"(1, 1, 64, 384)",model/MobilenetV2/expanded_conv_10/expand/weights:0
31,"(3, 3, 384, 1)",model/MobilenetV2/expanded_conv_10/depthwise/depthwise_weights:0
32,"(1, 1, 384, 96)",model/MobilenetV2/expanded_conv_10/project/weights:0
33,"(1, 1, 96, 576)",model/MobilenetV2/expanded_conv_11/expand/weights:0
34,"(3, 3, 576, 1)",model/MobilenetV2/expanded_conv_11/depthwise/depthwise_weights:0
35,"(1, 1, 576, 96)",model/MobilenetV2/expanded_conv_11/project/weights:0
36,"(1, 1, 96, 576)",model/MobilenetV2/expanded_conv_12/expand/weights:0
37,"(3, 3, 576, 1)",model/MobilenetV2/expanded_conv_12/depthwise/depthwise_weights:0
38,"(1, 1, 576, 96)",model/MobilenetV2/expanded_conv_12/project/weights:0
39,"(3, 3, 96, 512)",model/build_rpn/rpn_conv/3x3/weights:0
40,"(1, 1, 512, 18)",model/build_rpn/rpn_cls_score/weights:0
41,"(1, 1, 512, 36)",model/build_rpn/rpn_bbox_pred/weights:0
42,"(?, 2)",model/build_rpn/rpn_cls_prob/Reshape_1:0
43,"(?, 7, 7, 96)",model/Faster-RCNN/rois_pooling/ROI_Warping/roi_features_zyx/MaxPool:0
44,"(1, 1, 96, 576)",model/Faster-RCNN/MobilenetV2/expanded_conv_13/expand/weights:0
45,"(3, 3, 576, 1)",model/Faster-RCNN/MobilenetV2/expanded_conv_13/depthwise/depthwise_weights:0
46,"(1, 1, 576, 160)",model/Faster-RCNN/MobilenetV2/expanded_conv_13/project/weights:0
47,"(1, 1, 160, 960)",model/Faster-RCNN/MobilenetV2/expanded_conv_14/expand/weights:0
48,"(3, 3, 960, 1)",model/Faster-RCNN/MobilenetV2/expanded_conv_14/depthwise/depthwise_weights:0
49,"(1, 1, 960, 160)",model/Faster-RCNN/MobilenetV2/expanded_conv_14/project/weights:0
50,"(1, 1, 160, 960)",model/Faster-RCNN/MobilenetV2/expanded_conv_15/expand/weights:0
51,"(3, 3, 960, 1)",model/Faster-RCNN/MobilenetV2/expanded_conv_15/depthwise/depthwise_weights:0
52,"(1, 1, 960, 160)",model/Faster-RCNN/MobilenetV2/expanded_conv_15/project/weights:0
53,"(1, 1, 160, 960)",model/Faster-RCNN/MobilenetV2/expanded_conv_16/expand/weights:0
54,"(3, 3, 960, 1)",model/Faster-RCNN/MobilenetV2/expanded_conv_16/depthwise/depthwise_weights:0
55,"(1, 1, 960, 320)",model/Faster-RCNN/MobilenetV2/expanded_conv_16/project/weights:0
56,"(1, 1, 320, 1280)",model/Faster-RCNN/MobilenetV2/Conv_1/weights:0
57,"(?, 4, 4, 1280)",model/Faster-RCNN/MobilenetV2/embedding:0
58,"(?, 1, 1, 1280)",model/Faster-RCNN/MobilenetV2/Logits/AvgPool:0
59,"(?, 1280)",model/Faster-RCNN/Squeeze:0
60,"(1280, 21)",model/Faster-RCNN/cls_fc/weights:0
61,"(1280, 84)",model/Faster-RCNN/reg_fc/weights:0
